compound,vina_kcal_mol,seconds
"AMANTADINE",-3.443,2.2
"ALPRAZOLAM",-5.713,6.2
"MAPROTILINE",-4.669,8.6
"ACETYLCHOLINE",-3.427,3.1
"METRONIDAZOLE",-4.364,3.4
"PROTRIPTYLINE",-4.384,10.2
"CYCLOBENZAPRINE",-4.883,8.7
"THIOTEPA",-2.944,2.8
"PARGYLINE",-3.680,3.9
"ALENDRONATE SODIUM",-4.320,10.8
"LEVONORDEFRIN",-4.464,5.9
"EPINEPHRINE",-4.434,6.2
"ETOMIDATE",-4.524,9.3
"DIETHYLCARBAMAZINE",-3.615,3.7
"MEBENDAZOLE",-5.172,12.9
"DICLOFENAC",-4.567,10.5
"MEFENAMIC ACID",-4.912,8.3
"FENTANYL CITRATE",-4.808,26.1
"MANNITOL",-3.992,10.3
"ETHINYL ESTRADIOL",-4.851,5.6
"TRIMETHADIONE",-3.898,1.8
"ETHOSUXIMIDE",-4.194,1.9
"METHSUXIMIDE",-4.808,3.7
"BETAHISTINE",-3.596,3.4
"SULFAPYRIDINE",-4.601,9.0
"BACLOFEN",-4.564,6.4
"MESALAMINE",-4.600,3.7
"ALITRETINOIN",-5.127,15.4
"INDORAMIN",-5.628,20.9
"PHENINDIONE",-4.699,3.8
"ANISINDIONE",-4.864,5.8
"FLUINDIONE",-4.862,4.5
"ENTECAVIR ANHYDROUS",-5.130,7.8
"LAMIVUDINE",-4.841,4.5
"ALBUTEROL",-4.499,10.2
"OLANZAPINE",-4.457,4.7
"MEDAZEPAM",-3.305,16.9
"TERTATOLOL",-4.563,17.5
"THIOGUANINE",-4.154,2.3
"NICORANDIL",-4.867,7.2
"THIOPENTAL SODIUM",-3.792,5.2
"METHOHEXITAL SODIUM",-4.563,8.0
"LAMOTRIGINE",-5.048,6.2
"KETAMINE",-3.877,4.0
"RILUZOLE",-4.615,5.4
"PRALIDOXIME CHLORIDE",-4.314,2.6
"ZONISAMIDE",-4.788,5.1
"ANAGRELIDE",-5.145,3.7
"NAPHAZOLINE",-4.541,5.7
"OXYMETAZOLINE",-4.325,8.3
"GUANETHIDINE",-2.763,19.1
"TOLAZOLINE",-3.761,3.9
"CLAVULANIC ACID",-4.654,4.3
"DEXMEDETOMIDINE",-4.076,3.7
"BUTORPHANOL",-4.758,11.5
"MAZINDOL",-5.323,5.6
"TOLBUTAMIDE",-5.011,10.2
"NATEGLINIDE",-5.390,20.4
"CIDOFOVIR ANHYDROUS",-5.005,15.7
"METHYLPHENIDATE",-4.026,8.1
"ESTAZOLAM",-5.823,6.2
"PHENSUXIMIDE",-4.571,3.5
"MINOXIDIL",-4.569,5.6
"NAPROXEN",-4.725,7.6
"CYTARABINE",-4.592,8.0
"FLUTAMIDE",-4.764,9.2
"MEMANTINE",-3.780,2.5
"SERTRALINE",-4.934,7.2
"PIRACETAM",-4.030,2.9
"TEMOZOLOMIDE",-4.858,3.0
"BROMPHENIRAMINE",-4.250,11.1
"PYRIDOSTIGMINE BROMIDE",-3.668,4.2
"GRANISETRON",-4.764,9.0
"TOLAZAMIDE",-3.886,26.4
"IOBENGUANE",-4.479,4.4
"NIFURTIMOX",-5.723,7.9
"TERBINAFINE",-4.641,16.5
"ENOXACIN",-5.547,9.6
"DEXMETHYLPHENIDATE",-4.832,7.3
"METHYLPROMAZINE",-4.264,12.4
"PRIMAQUINE PHOSPHATE",-4.617,15.1
"EFLORNITHINE",-4.257,6.8
"LOXAPINE",-5.043,3.9
"TICLOPIDINE",-4.449,6.0
"EDARAVONE",-4.199,2.9
"PAMIDRONIC ACID",-4.293,8.1
"RILMENIDINE",-3.464,5.1
"EZOGABINE",-4.890,19.6
"CARTEOLOL",-4.563,20.0
"CHLOROTHIAZIDE",-5.013,6.1
"BRIMONIDINE",-4.589,4.8
"POMALIDOMIDE",-5.145,7.8
"OXAMNIQUINE",-4.762,11.3
"LENALIDOMIDE",-5.134,6.2
"TRICLOSAN",-4.193,6.6
"ZALCITABINE",-4.745,5.1
"TRIPROLIDINE",-4.505,10.9
"MEPHOBARBITAL",-4.950,4.2
"PRIMIDONE",-4.251,3.3
"BIOTIN",-4.799,8.1
"MEPHENYTOIN",-4.829,3.7
"GUANFACINE",-4.916,4.1
"MYCOPHENOLIC ACID",-5.489,20.1
"CANTHARIDIN",-4.524,2.0
"ALENDRONIC ACID",-4.320,10.2
"ETIDRONIC ACID",-4.593,4.7
"TRANEXAMIC ACID",-4.529,3.2
"EMTRICITABINE",-4.935,4.5
"RASAGILINE",-3.918,3.7
"GEMCITABINE",-4.750,7.6
"LACTULOSE",-4.967,26.0
"BUTORPHANOL TARTRATE",-4.758,10.5
"BUPROPION",-4.085,7.4
"DEXTROMETHORPHAN",-4.991,4.2
"DIFLUNISAL",-5.099,7.6
"ORPHENADRINE",-4.225,11.1
"DEXMETHYLPHENIDATE HYDROCHLORIDE",-4.832,6.5
"RIZATRIPTAN",-4.834,13.5
"CHLORPROTHIXENE",-4.331,9.4
"ZOLPIDEM",-4.818,11.5
"FLOXURIDINE",-4.813,6.7
"PHENACEMIDE",-4.461,4.2
"RISEDRONIC ACID",-4.437,11.5
"ZOLEDRONIC ACID ANHYDROUS",-4.585,11.2
"TYROSINE",-4.443,7.0
"LEVACETYLLEUCINE",-4.118,4.7
"DANTROLENE SODIUM",-5.657,12.0
"GLUTAMINE",-4.308,5.0
"METYRAPONE",-4.502,6.6
"DIPHENIDOL",-3.934,20.6
"DIETHYLCARBAMAZINE CITRATE",-3.615,3.0
"GABAPENTIN",-4.057,4.3
"LACOSAMIDE",-4.500,12.0
"TROPISETRON",-5.589,12.2
"PRAMIPEXOLE",-4.137,5.6
"EPALRESTAT",-4.581,11.5
"CHLOROPROCAINE HYDROCHLORIDE",-3.872,15.8
"AMILORIDE",-4.788,4.5
"AZATADINE",-3.706,15.7
"ENTACAPONE",-5.273,14.3
"RIMANTADINE",-3.563,2.9
"LEFLUNOMIDE",-4.580,6.2
"OXYMORPHONE",-5.598,4.9
"DISULFIRAM",-3.193,10.6
"CARBAMOYLCHOLINE",-3.675,3.7
"TEMAZEPAM",-4.169,21.2
"PRAZEPAM",-3.813,30.1
"SELEGILINE",-3.724,7.1
"TERIFLUNOMIDE",-4.827,9.6
"PRAZIQUANTEL",-5.170,10.8
"METHACHOLINE",-3.440,4.1
"GUAIFENESIN",-4.434,8.2
"FENOFIBRIC ACID",-4.916,15.1
"NALMEFENE",-5.131,10.3
"TIPIRACIL HYDROCHLORIDE",-5.236,5.6
"RETINOL",-4.399,11.5
"BUTENAFINE",-4.533,24.5
"ACEFYLLINE",-4.944,6.6
"STAVUDINE",-5.003,5.8
"CLOBAZAM",-4.027,22.2
"LEVOSALBUTAMOL",-4.418,12.8
"CLAVULANATE POTASSIUM",-4.654,4.2
