gene,log2FC,t,P,FDR,AveExpr,sig
ASRGL1,-2.203999142513723,-29.015124366708854,1.071744260405383e-09,1.058371136102858e-07,2.8691877000797494,Down
PWWP3B,2.6529364953101107,28.999315882681355,1.0766010187099887e-09,1.058371136102858e-07,1.5328655039655834,Up
GBP4,2.417761841407664,28.906100679994143,1.1057444076050302e-09,1.058371136102858e-07,1.491351751903298,Up
BTN3A3,2.3253201961893937,28.89568034126992,1.1090567527484001e-09,1.058371136102858e-07,1.3473362418513535,Up
AHNAK2,2.6582702562793825,28.895399457464226,1.1091461916119124e-09,1.058371136102858e-07,2.3844655675512234,Up
OASL,2.7884438037956447,28.888461684554805,1.111357875651758e-09,1.058371136102858e-07,4.206094064492443,Up
TNFSF13,2.5485680009115494,28.886308069330646,1.1120454268243862e-09,1.058371136102858e-07,2.34468864367766,Up
PLA2G3,2.2076083230108465,28.855634761491835,1.1218898326073264e-09,1.058371136102858e-07,1.13167056638438,Up
SLC22A15,2.756633773210353,28.851822518391504,1.1231201430049558e-09,1.058371136102858e-07,3.639601344894786,Up
SERPINA3,4.115807816894357,28.77609143045453,1.147875988102466e-09,1.06161510864695e-07,8.282563106984671,Up
PIK3IP1,2.40730402056558,28.77338458222285,1.148772060932952e-09,1.06161510864695e-07,3.8272278228035894,Up
PLCL1,2.8062688809236627,28.770279466391152,1.1498009395115802e-09,1.06161510864695e-07,1.5369411739144148,Up
CAPN11,2.229643795856702,28.749221124781318,1.1568058658427702e-09,1.06161510864695e-07,1.1377517909174972,Up
