name,source,smiles,MW,LogP,HBD,HBA,TPSA,RotB,QED,heavy,Lipinski_viol
MOXONIDINE,CHEMBL19236,COc1nc(C)nc(Cl)c1NC1=NCCN1,241.68200000000002,0.8181199999999997,2,6,71.43,2,0.750440465982924,16,0
PROCAINAMIDE HYDROCHLORIDE,CHEMBL605,CCN(CC)CCNC(=O)c1ccc(N)cc1,235.33100000000002,1.3403999999999996,2,3,58.36,6,0.7315396930195435,17,0
MISOPROSTOL,CHEMBL606,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,382.5410000000003,3.9536000000000033,2,5,83.83,13,0.28616128234902766,27,0
MACIMORELIN,CHEMBL278623,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O,474.56500000000017,1.8447999999999996,6,4,144.89999999999998,10,0.15385344754641514,35,1
MEPERIDINE,CHEMBL607,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,247.33799999999994,2.2131,0,3,29.54,3,0.7669944339918414,18,0
LOXOPROFEN,CHEMBL19299,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,246.30599999999993,2.7864000000000013,1,2,54.37,4,0.8883440640479293,18,0
TRIENTINE,CHEMBL609,NCCNCCNCCN,146.238,-1.916999999999998,4,4,76.1,7,0.3159259759712412,10,0
TERAZOSIN,CHEMBL611,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,387.44000000000017,1.0567999999999995,1,8,103.04,4,0.8306226664509899,28,0
DEXTROAMPHETAMINE,CHEMBL612,C[C@H](N)Cc1ccccc1,135.20999999999998,1.5763,1,1,26.02,2,0.6542162175383444,10,0
IBUDILAST,CHEMBL19449,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,230.311,3.296400000000002,0,2,34.370000000000005,3,0.7581170106168678,17,0
